,fit_time,score_time,test_f1,test_accuracy,test_recall,test_precision
0,165.42542386054993,13.62644910812378,0.8962264150943395,0.89,0.95,0.8482142857142857
1,167.29664278030396,13.811071634292603,0.9319371727748691,0.935,0.89,0.978021978021978
2,163.5310206413269,13.304778814315796,0.8972972972972972,0.905,0.83,0.9764705882352941
3,165.81187391281128,12.933799743652344,0.8555555555555556,0.87,0.77,0.9625
4,162.19952154159546,13.184746980667114,0.9368421052631579,0.94,0.89,0.9888888888888889
5,168.6953423023224,13.323352813720703,0.9696969696969697,0.97,0.96,0.9795918367346939
6,157.79201936721802,12.811998128890991,0.8018018018018018,0.78,0.89,0.7295081967213115
7,169.70142030715942,13.536184787750244,0.9611650485436893,0.96,0.99,0.9339622641509434
8,164.03041982650757,12.657279253005981,0.9428571428571428,0.94,0.99,0.9
9,152.75168108940125,12.349238872528076,0.9029126213592233,0.9,0.93,0.8773584905660378
