,C,fit_time,score_time,test_f1,test_recall,test_precision,test_accuracy
0,0.001,176.2842662334442,17.439993143081665,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,0.001,172.76776909828186,17.055335760116577,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,0.001,173.44981455802917,17.471076726913452,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,0.001,173.33264660835266,17.360084295272827,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,0.001,171.94112181663513,16.9255588054657,0.7603833865814698,0.74375,0.7777777777777778,0.765625
0,0.01,172.3978090286255,17.07058620452881,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,0.01,171.82718706130981,17.0200936794281,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,0.01,174.81574726104736,17.52786087989807,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,0.01,176.26120781898499,17.41753602027893,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,0.01,178.91940093040466,17.363348722457886,0.7603833865814698,0.74375,0.7777777777777778,0.765625
0,0.1,173.87952542304993,17.14747428894043,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,0.1,172.66201281547546,16.993659734725952,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,0.1,172.80948066711426,17.289691925048828,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,0.1,172.10209202766418,17.174649238586426,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,0.1,170.95742082595825,16.724629163742065,0.7603833865814698,0.74375,0.7777777777777778,0.765625
0,1.0,171.13294744491577,17.002657890319824,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,1.0,171.28485774993896,16.97970747947693,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,1.0,173.31070256233215,17.333881855010986,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,1.0,172.43217849731445,17.34864068031311,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,1.0,172.34433031082153,16.912526845932007,0.7603833865814698,0.74375,0.7777777777777778,0.765625
0,10.0,182.2232129573822,17.628408670425415,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,10.0,180.16977334022522,17.554768323898315,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,10.0,180.00919389724731,17.789006233215332,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,10.0,178.95079398155212,17.67390751838684,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,10.0,177.1271538734436,17.220961570739746,0.7603833865814698,0.74375,0.7777777777777778,0.765625
0,100.0,178.4067051410675,17.501872301101685,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,100.0,178.42968559265137,17.317726135253906,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,100.0,180.65187048912048,17.87163519859314,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,100.0,181.3317928314209,17.40071415901184,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,100.0,172.2028489112854,16.78162145614624,0.7603833865814698,0.74375,0.7777777777777778,0.765625
0,1000.0,176.02186751365662,17.07556462287903,0.7601246105919002,0.7577639751552795,0.7625,0.759375
1,1000.0,173.51021242141724,17.044636249542236,0.7174603174603175,0.70625,0.7290322580645161,0.721875
2,1000.0,179.9530873298645,17.810539484024048,0.7594936708860761,0.75,0.7692307692307693,0.7625
3,1000.0,185.07107996940613,18.687835693359375,0.7696969696969697,0.79375,0.7470588235294118,0.7625
4,1000.0,179.5179362297058,17.114527702331543,0.7603833865814698,0.74375,0.7777777777777778,0.765625
